time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-10-02T04:09:07.110Z,42.6401667,-111.4111667,-1.04,1.41,md,14,108,0.0354,0.11,uu,uu60250862,2017-10-02T18:54:29.040Z,"15km E of Soda Springs, Idaho",earthquake,0.48,0.53,0.15,4,reviewed,uu,uu
2017-10-02T04:01:59.110Z,33.0288333,-116.43,3.21,1,ml,30,102,0.1366,0.2,ci,ci38016576,2017-10-02T12:26:27.800Z,"17km ESE of Julian, CA",earthquake,0.32,1.1,0.173,24,reviewed,ci,ci
2017-10-02T03:57:25.830Z,33.2468333,-116.044,4,1.09,ml,25,81,0.1841,0.25,ci,ci38016568,2017-10-02T04:01:01.034Z,"10km SW of Salton City, CA",earthquake,0.5,2.23,0.12,27,automatic,ci,ci
2017-10-02T03:50:37.980Z,42.6083333,-111.4461667,6.68,1.42,ml,12,71,0.02339,0.13,uu,uu60250857,2017-10-02T18:58:37.800Z,"13km ESE of Soda Springs, Idaho",earthquake,0.41,0.41,0.201,2,reviewed,uu,uu
2017-10-02T03:42:02.710Z,33.328,-116.7538333,12.26,0.43,ml,19,95,0.09187,0.16,ci,ci38016560,2017-10-02T12:27:55.291Z,"10km N of Lake Henshaw, CA",earthquake,0.45,0.87,0.134,10,reviewed,ci,ci
2017-10-02T03:39:37.280Z,35.754,-118.4821667,3.27,1.32,ml,16,81,0.06335,0.11,ci,ci38016552,2017-10-02T12:28:23.580Z,"5km W of Kernville, CA",earthquake,0.27,0.89,0.195,19,reviewed,ci,ci
2017-10-02T03:37:46.040Z,19.3974991,-155.0218353,0.02,2.26,ml,49,164,0.03957,0.32,hv,hv61929701,2017-10-02T03:43:30.490Z,"13km SW of Leilani Estates, Hawaii",earthquake,0.98,0.27,0.19,8,automatic,hv,hv
2017-10-02T03:32:58.660Z,36.2819,-97.5196,4.38,2.5,mb_lg,,27,0.206,0.27,us,us2000axp9,2017-10-02T17:40:45.833Z,"20km W of Perry, Oklahoma",earthquake,1,3.9,0.114,20,reviewed,us,us
2017-10-02T03:31:57.840Z,33.4925,-116.7875,4.57,0.34,ml,15,82,0.08393,0.1,ci,ci38016544,2017-10-02T03:35:47.207Z,"9km NE of Aguanga, CA",earthquake,0.23,0.38,0.107,8,automatic,ci,ci
2017-10-02T03:05:12.980Z,37.5149994,-118.8848343,5.7,1.01,md,13,177,0.08701,0.02,nc,nc72902966,2017-10-02T04:00:03.376Z,"16km SSE of Mammoth Lakes, California",earthquake,0.5,1.54,0.11,12,automatic,nc,nc
2017-10-02T03:02:43.596Z,55.7636,-154.9176,20.8,3.4,ml,,,,0.72,ak,ak16982006,2017-10-02T17:03:01.253Z,"44km E of Chirikof Island, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2017-10-02T03:02:30.820Z,46.8582,-112.5073,10.64,2.7,ml,,54,0.055,0.74,us,us2000axp5,2017-10-02T17:26:38.632Z,"17km SE of Lincoln, Montana",earthquake,4.3,5.8,0.052,48,reviewed,us,us
2017-10-02T02:59:55.560Z,37.5923347,-118.856163,-2.25,0.85,md,8,190,0.02161,0.31,nc,nc72902961,2017-10-02T03:32:02.317Z,"11km ESE of Mammoth Lakes, California",earthquake,1.46,3.35,0.26,8,automatic,nc,nc
2017-10-02T02:38:40.921Z,39.1996,-119.6499,4.8,0.8,ml,13,63.63,0.072,0.1434,nn,nn00607858,2017-10-02T16:23:12.746Z,"6km SW of Dayton, Nevada",earthquake,,1.6,0.22,5,reviewed,nn,nn
2017-10-02T02:38:28.120Z,42.5166667,-111.4183333,6.74,1.01,md,11,67,0.05335,0.09,uu,uu60250847,2017-10-02T19:02:15.940Z,"21km SE of Soda Springs, Idaho",earthquake,0.41,0.7,0.127,4,reviewed,uu,uu
2017-10-02T02:36:00.518Z,39.197,-119.6502,5.9,0.6,ml,16,64.05,0.071,0.1785,nn,nn00607852,2017-10-02T15:39:25.406Z,"6km SW of Dayton, Nevada",earthquake,,2.9,0.48,6,reviewed,nn,nn
2017-10-02T02:23:09.050Z,44.7383333,-111.1748333,4.88,0.7,md,7,82,0.01968,0.05,uu,uu60250842,2017-10-02T19:11:35.320Z,"10km NNW of West Yellowstone, Montana",earthquake,0.4,0.56,0.239,6,reviewed,uu,uu
2017-10-02T01:56:13.983Z,61.2439,-146.8167,26.6,1.1,ml,,,,1.23,ak,ak16982001,2017-10-02T02:02:30.354Z,"28km WNW of Valdez, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-10-02T01:56:04.560Z,42.5206667,-111.4118333,7.35,1.18,md,15,47,0.05337,0.1,uu,uu60250837,2017-10-02T19:07:26.470Z,"21km SE of Soda Springs, Idaho",earthquake,0.32,0.58,0.104,3,reviewed,uu,uu
2017-10-02T01:38:11.227Z,63.4358,-151.4652,10,0.7,ml,,,,0.43,ak,ak16981998,2017-10-02T16:57:15.694Z,"125km W of Cantwell, Alaska",earthquake,,0,,,reviewed,ak,ak
2017-10-02T01:36:45.944Z,63.1691,-151.5285,0,1.3,ml,,,,0.49,ak,ak16981996,2017-10-02T01:49:10.328Z,"118km NW of Talkeetna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-10-02T01:35:56.528Z,59.5948,-151.6012,56.3,1.4,ml,,,,0.23,ak,ak16982000,2017-10-02T16:55:03.491Z,"6km SSW of Homer, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2017-10-02T01:29:02.490Z,42.5178,-111.4159,6.97,2.6,ml,,51,0.053,0.3,us,us2000axnx,2017-10-02T19:17:16.550Z,"21km SE of Soda Springs, Idaho",earthquake,1.2,2.2,0.042,76,reviewed,us,us
2017-10-02T01:27:58.571Z,63.3329,-145.2312,7.3,1.8,ml,,,,0.65,ak,ak16981992,2017-10-02T01:39:12.739Z,"60km S of Deltana, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-10-02T01:23:18.200Z,33.5093333,-116.7871667,9.26,1.76,ml,16,79,0.08631,0.18,ci,ci38016520,2017-10-02T01:27:05.435Z,"10km NE of Aguanga, CA",earthquake,0.36,1.06,0.257,13,automatic,ci,ci
2017-10-02T01:10:41.890Z,36.0791667,-117.699,2.62,0.61,ml,8,85,0.07604,0.07,ci,ci38016512,2017-10-02T12:28:55.748Z,"23km E of Coso Junction, CA",earthquake,0.21,7.4,0.166,3,reviewed,ci,ci
2017-10-02T00:56:27.370Z,38.402668,-122.4278336,7.37,1.5,md,12,76,0.06215,0.09,nc,nc72902936,2017-10-02T01:51:05.047Z,"5km W of Yountville, California",earthquake,0.38,0.88,0.16,10,automatic,nc,nc
2017-10-02T00:56:20.190Z,42.5188333,-111.4175,6.5,1.35,ml,12,80,0.05455,0.14,uu,uu60250827,2017-10-02T19:21:56.180Z,"21km SE of Soda Springs, Idaho",earthquake,0.45,0.87,0.206,4,reviewed,uu,uu
2017-10-02T00:52:51.670Z,42.5126667,-111.4223333,7.8,1.43,ml,11,88,0.05266,0.13,uu,uu60250822,2017-10-02T19:24:32.710Z,"21km SE of Soda Springs, Idaho",earthquake,0.64,0.68,0.407,2,reviewed,uu,uu
2017-10-02T00:49:24.520Z,19.484333,-155.5845032,2.03,1.71,ml,13,66,0.01194,0.24,hv,hv61929496,2017-10-02T00:55:06.830Z,"29km E of Honaunau-Napoopoo, Hawaii",earthquake,0.52,0.4,0.21,3,automatic,hv,hv
2017-10-02T00:48:49.730Z,48.1543333,-122.7411667,20.21,0.94,ml,12,57,0.1531,0.17,uw,uw61336411,2017-10-02T18:28:31.230Z,"4km NNE of Port Townsend, Washington",earthquake,0.45,0.93,0.205,7,reviewed,uw,uw
2017-10-02T00:21:03.272Z,61.5177,-149.7914,34.2,1.5,ml,,,,0.74,ak,ak16981986,2017-10-02T00:27:40.303Z,"8km E of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-10-02T00:17:48.250Z,33.5023333,-116.7936667,5.16,1.6,ml,59,31,0.07857,0.23,ci,ci38016496,2017-10-02T12:30:35.610Z,"9km NE of Aguanga, CA",earthquake,0.19,1.09,0.105,26,reviewed,ci,ci
2017-10-02T00:12:49.120Z,33.4911667,-116.7905,4.5,0.59,ml,23,83,0.08635,0.16,ci,ci38016480,2017-10-02T12:29:47.751Z,"9km NE of Aguanga, CA",earthquake,0.26,0.53,0.105,21,reviewed,ci,ci
2017-10-02T00:09:29.480Z,38.8241653,-122.8071671,4.04,0.88,md,8,161,0.002397,0.02,nc,nc72902926,2017-10-02T01:07:02.908Z,"6km NW of The Geysers, California",earthquake,0.75,2.64,,2,automatic,nc,nc
2017-10-02T00:06:54.990Z,38.8106651,-122.815834,2.75,0.84,md,11,90,0.01058,0.03,nc,nc72902921,2017-10-02T00:39:03.838Z,"6km NW of The Geysers, California",earthquake,0.32,0.62,0.05,4,automatic,nc,nc
2017-10-01T23:49:20.242Z,37.1971,-114.7954,7.1,2.5,ml,32,83.71,0.292,0.193,nn,nn00607841,2017-10-02T05:27:10.040Z,"37km ESE of Alamo, Nevada",earthquake,,1.4,0.27,17,reviewed,nn,nn
2017-10-01T23:47:56.700Z,40.3085,-124.5061667,21.45,2.66,md,31,229,0.2108,0.08,nc,nc72902911,2017-10-02T17:54:02.765Z,"36km SW of Ferndale, California",earthquake,0.62,0.31,0.142,42,reviewed,nc,nc
2017-10-01T23:43:24.355Z,63.1042,-150.607,123,1.9,ml,,,,0.32,ak,ak16981979,2017-10-01T23:47:47.872Z,"89km WSW of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-10-01T23:14:31.788Z,60.887,-138.1646,2.6,1.5,ml,,,,0.57,ak,ak16980981,2017-10-01T23:22:01.026Z,"38km WNW of Haines Junction, Canada",earthquake,,0.3,,,automatic,ak,ak
2017-10-01T23:07:33.440Z,33.9766667,-116.2758333,2.65,1.6,ml,42,37,0.0993,0.18,ci,ci38016456,2017-10-01T23:18:14.180Z,"18km S of Joshua Tree, CA",earthquake,0.24,0.51,0.145,26,automatic,ci,ci
2017-10-01T23:01:15.730Z,38.8168335,-122.8101654,1.1,1.02,md,15,65,0.006552,0.02,nc,nc72902901,2017-10-01T23:34:04.678Z,"6km NW of The Geysers, California",earthquake,0.23,0.35,0.06,6,automatic,nc,nc
2017-10-01T22:32:44.947Z,60.5412,-141.9098,16.1,1.2,ml,,,,0.41,ak,ak16980976,2017-10-01T22:38:51.353Z,"60km NNE of Cape Yakataga, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-10-01T22:24:19.514Z,61.9315,-149.1388,6.8,1.8,ml,,,,0.76,ak,ak16980971,2017-10-01T22:32:29.449Z,"21km NNE of Fishhook, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-10-01T22:22:19.627Z,39.7631,-119.6949,6.9,0.9,ml,19,92,0.2,0.2223,nn,nn00607835,2017-10-01T22:39:34.842Z,"12km N of Spanish Springs, Nevada",earthquake,,2.1,0.28,5,reviewed,nn,nn
2017-10-01T22:20:01.940Z,65.528,-149.9717,13.9,2,ml,,,,0.55,ak,ak16980968,2017-10-01T22:32:29.659Z,"66km NNE of Manley Hot Springs, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-10-01T22:09:30.280Z,46.8703333,-121.6988333,2.24,0.86,ml,7,175,0.02297,0.12,uw,uw61336361,2017-10-01T23:01:06.090Z,"29km N of Packwood, Washington",earthquake,1.18,31.61,0.211,6,reviewed,uw,uw
2017-10-01T22:06:22.815Z,60.0183,-139.4801,0,1.7,ml,,,,0.76,ak,ak16980965,2017-10-01T22:17:05.374Z,"54km NNE of Yakutat, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-10-01T22:01:59.120Z,33.714,-116.8326667,16.17,1.5,ml,52,42,0.0806,0.25,ci,ci38016448,2017-10-01T22:12:58.760Z,"7km SE of Valle Vista, CA",earthquake,0.27,0.52,0.192,26,automatic,ci,ci
2017-10-01T21:45:19.860Z,33.512,-116.7956667,4.95,0.84,ml,31,36,0.0722,0.17,ci,ci38016440,2017-10-01T21:48:55.166Z,"10km NE of Aguanga, CA",earthquake,0.22,1.21,0.112,25,automatic,ci,ci
2017-10-01T21:35:33.690Z,39.1963,-119.6519,5.8,1.4,ml,20,62.31,0.07,0.146,nn,nn00607826,2017-10-02T19:16:35.148Z,"6km SW of Dayton, Nevada",earthquake,,1.7,0.26,10,reviewed,nn,nn
2017-10-01T21:32:16.515Z,38.227,-118.4447,7,-0.2,ml,4,249.51,0.053,0.1138,nn,nn00607836,2017-10-01T22:30:07.734Z,"36km SSE of Hawthorne, Nevada",earthquake,,9.1,0.16,2,reviewed,nn,nn
2017-10-01T21:22:52.104Z,37.388,-118.4467,10,1.1,ml,13,91.14,0.094,0.1619,nn,nn00607834,2017-10-01T22:30:06.818Z,"2km W of Dixon Lane-Meadow Creek, California",earthquake,,2.1,0.26,3,reviewed,nn,nn
2017-10-01T21:18:30.615Z,61.4265,-149.8631,46.8,1.2,ml,,,,0.25,ak,ak16980964,2017-10-01T21:25:26.126Z,"11km SSE of Big Lake, Alaska",earthquake,,0.9,,,automatic,ak,ak
2017-10-01T21:08:49.610Z,49.3235,-120.5676667,-1.5,1.82,ml,11,286,0.8682,0.45,uw,uw61336341,2017-10-02T19:25:32.200Z,"15km SSW of Princeton, Canada",explosion,3.22,31.61,0.217,9,reviewed,uw,uw
2017-10-01T20:42:22.299Z,64.5758,-149.2079,15.6,1.1,ml,,,,0.62,ak,ak16980957,2017-10-01T20:46:38.388Z,"4km W of North Nenana, Alaska",earthquake,,0.1,,,automatic,ak,ak
2017-10-01T20:39:20.657Z,59.7744,-136.6975,0,1.7,ml,,,,0.64,ak,ak16980945,2017-10-01T20:44:57.778Z,"85km WNW of Skagway, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-10-01T20:38:57.968Z,59.2151,-152.2691,55.5,2.7,ml,,,,0.55,ak,ak16980939,2017-10-01T20:52:40.464Z,"62km SW of Homer, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-10-01T20:38:52.904Z,61.5648,-149.1083,11.6,2,ml,,,,1.04,ak,ak16980943,2017-10-01T20:43:16.373Z,"3km S of Palmer, Alaska",earthquake,,0.7,,,automatic,ak,ak
2017-10-01T20:38:33.260Z,37.6106682,-118.8184967,3.26,1.07,md,8,124,0.02226,0.01,nc,nc72902876,2017-10-01T21:29:02.324Z,"14km ESE of Mammoth Lakes, California",earthquake,0.64,0.79,0.19,8,automatic,nc,nc
2017-10-01T20:34:27.740Z,35.9855,-96.7952,3.13,2.5,mb_lg,,55,0.01,0.28,us,us2000axlg,2017-10-02T14:43:29.924Z,"2km W of Cushing, Oklahoma",earthquake,1.3,3,0.154,11,reviewed,us,us
2017-10-01T20:34:04.690Z,36.9803352,-121.623497,1.8,1.35,md,9,72,0.04155,0.09,nc,nc72902871,2017-10-01T21:04:02.265Z,"5km WSW of Gilroy, California",earthquake,0.4,2.01,0.21,9,automatic,nc,nc
2017-10-01T20:32:45.114Z,62.2982,-149.3529,27.5,1.6,ml,,,,0.7,ak,ak16980936,2017-10-01T20:39:54.499Z,"30km ENE of Y, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-10-01T20:12:55.100Z,38.0747,-119.0233,8.8,0.7,ml,12,93.04,0.127,0.1064,nn,nn00607823,2017-10-01T21:28:20.534Z,"27km SE of Bridgeport, California",earthquake,,6,0.13,2,reviewed,nn,nn
2017-10-01T19:43:43.210Z,36.1992,-97.4467,5.42,3.3,mb_lg,,28,0.181,0.52,us,us2000axkq,2017-10-02T14:39:24.974Z,"17km SW of Perry, Oklahoma",earthquake,1.7,7.3,0.048,113,reviewed,us,us
