time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-10-02T15:14:39.290Z,36.4623333,-120.9963333,5.71,1.36,md,11,155,0.04182,0.04,nc,nc72903111,2017-10-02T18:57:03.936Z,"27km NE of Greenfield, California",earthquake,0.39,0.73,0.234,10,reviewed,nc,nc
2017-10-02T15:14:10.972Z,38.0729,-118.7916,1.9,0.4,ml,7,240.6,0.013,0.111,nn,nn00607877,2017-10-02T18:30:11.207Z,"43km ESE of Bridgeport, California",earthquake,,1.7,0,1,reviewed,nn,nn
2017-10-02T15:12:39.610Z,36.5505,-89.8025,12.47,2.19,md,36,60,0.07383,0.1,nm,nm60207666,2017-10-02T16:38:30.700Z,"14km E of Malden, Missouri",earthquake,0.16,0.33,0.057,17,reviewed,nm,nm
2017-10-02T14:59:51.417Z,61.2492,-146.8151,19.9,2.7,ml,,,,0.59,ak,ak16988065,2017-10-02T15:14:45.005Z,"28km WNW of Valdez, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-10-02T14:08:10.020Z,2.6798,127.1289,25.66,4.7,mb,,113,1.91,0.65,us,us2000axtv,2017-10-02T14:48:31.040Z,"143km NW of Tobelo, Indonesia",earthquake,4.2,5.6,0.085,42,reviewed,us,us
2017-10-02T14:00:17.750Z,46.5141667,-122.2773333,16.19,0.48,ml,6,327,0.1688,0.07,uw,uw61336551,2017-10-02T18:04:42.810Z,"4km S of Morton, Washington",earthquake,0.99,1.88,0.094,3,reviewed,uw,uw
2017-10-02T13:55:13.029Z,64.6409,-149.2609,14.4,1.1,ml,,,,0.3,ak,ak16987055,2017-10-02T14:02:09.358Z,"9km NW of North Nenana, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-10-02T13:41:39.890Z,38.8165016,-122.7853317,1.96,0.52,md,6,110,0.004864,0.02,nc,nc72903091,2017-10-02T14:48:03.926Z,"5km W of Cobb, California",earthquake,0.58,1.57,0.02,2,automatic,nc,nc
2017-10-02T13:27:31.670Z,38.8328323,-122.7516632,0.68,1.18,md,7,106,0.00776,0.02,nc,nc72903081,2017-10-02T13:57:04.810Z,"2km WNW of Cobb, California",earthquake,0.44,1.15,0.01,3,automatic,nc,nc
2017-10-02T13:25:16.850Z,28.6895,51.6372,10,4.7,mb,,128,5.527,0.66,us,us2000axtl,2017-10-02T14:19:35.040Z,"76km SSE of Borazjan, Iran",earthquake,5.4,1.9,0.062,79,reviewed,us,us
2017-10-02T13:01:08.120Z,44.7795,-111.084,11.23,1.34,md,16,69,0.02312,0.09,uu,uu60250902,2017-10-02T15:03:13.470Z,"13km N of West Yellowstone, Montana",earthquake,0.41,0.47,0.211,11,reviewed,uu,uu
2017-10-02T12:55:42.600Z,19.4743328,-155.6031647,1.02,2.46,ml,50,42,0.01214,0.23,hv,hv61929981,2017-10-02T13:01:30.400Z,"27km E of Honaunau-Napoopoo, Hawaii",earthquake,0.31,0.33,0.33,26,automatic,hv,hv
2017-10-02T12:39:56.150Z,36.2851,-97.5037,3.93,2.6,mb_lg,,26,0.217,0.46,us,us2000axsh,2017-10-02T19:31:43.621Z,"19km W of Perry, Oklahoma",earthquake,1.3,7.7,0.104,24,reviewed,us,us
